config,macro,macro_std,normal,side_I,side_II,n_feats,t_mean,t_std
REF,0.8085466278040316,0.02517098706106662,0.9695011291366947,0.5933269628921803,0.86281179138322,,,
REF+WL,0.8341269092809735,0.010068050686076723,0.9738175011337974,0.64,0.8885632267091234,1214.0,,
F3,0.7934269260619692,0.01742318437355255,0.9680921984441362,0.5405982905982906,0.8715902891434807,,,
PS,0.7536695530061476,0.01534289510528915,0.9645871918808631,0.4504830917874396,0.84593837535014,,,
PSN,0.7685825959573475,0.022181403829212677,0.9596567156391353,0.5508045977011494,0.7952864745317575,,0.36666666666666675,0.09021579068482904
