config,macro_pooled,macro_pooled_std,normal,side_I,side_II,macro_fold_mean
A_step7_reproduction (buggy mirror),0.8347683531417873,0.024297696872016848,0.971730599402626,0.6708601743084502,0.8617142857142858,0.8409829746001597
B_fixed_mirror,0.833310488164609,0.02316148057626998,0.9717526088666956,0.6664645699128458,0.8617142857142858,0.8387727954689642
C_fixed_mirror + speed_gate,0.8222346503870035,0.022761669245270136,0.9709745482887506,0.6304232804232803,0.8653061224489796,0.8258302487455441
D_C + no_speed_features,0.8181462969298613,0.023392738577090517,0.9714223048910104,0.6179009396400701,0.8651156462585033,0.8221019124346992
F_C + wavelength_features,0.8234598822278615,0.020964890855982524,0.9727274674994906,0.6249287749287749,0.872723404255319,0.8257361946054658
