feature,importance
vib_sideII_power_2000_2500_max,0.0023890431796502625
shock_sideI_power_750_1000_mean,0.0023786341987161227
shock_sideII_rms_std,0.0023717888164044485
shock_sideII_max_abs_max,0.0023617588539557254
vib_sideI_power_4000_4500_mean,0.0022808269452418203
shock_sideII_power_2500_3000_std,0.002279072670847525
shock_sideII_power_500_750_std,0.0022631339061041944
shock_sideII_power_4000_4500_std,0.002255746774046964
shock_sideII_power_0_250_max,0.0022555116989237344
vib_sideII_max_abs_mean,0.0022510050738544524
vib_sideII_power_1000_1500_std,0.002165334417096804
vib_sideI_power_2500_3000_mean,0.002149387844249999
vib_sideI_power_1000_1500_max,0.002147504661213498
shock_sideI_power_2000_2500_std,0.0021457106579123816
vib_sideII_power_2000_2500_std,0.0021456813032428045
vib_sideI_dominant_frequency_mean,0.0021170512281593386
shock_sideI_power_3000_3500_mean,0.0021048042264612764
shock_sideI_power_3000_3500_max,0.0020666948942911394
vib_sideI_kurtosis_std,0.0020545902664138435
shock_sideII_power_1500_2000_std,0.002052975385506833
shock_sideI_peak_to_peak_max,0.002051008646353915
shock_sideII_power_0_250_mean,0.0020464652200859923
vib_sideII_power_1000_1500_max,0.0020255494144465007
shock_sideI_power_3000_3500_std,0.0020002122137004292
shock_sideII_power_4000_4500_max,0.0019903280400956776
shock_sideI_max_abs_mean,0.0019309535744871614
shock_sideII_power_2500_3000_mean,0.0019306967103760488
vib_sideII_max_abs_max,0.0019078766030125656
vib_sideI_crest_factor_max,0.0018929329890546927
vib_sideI_kurtosis_max,0.0018587971675186768
shock_sideII_power_3500_4000_max,0.0018582279106375895
vib_sideI_peak_to_peak_mean,0.0018530803898514487
shock_sideII_crest_factor_mean,0.001833223832460572
shock_sideII_power_1500_2000_mean,0.00179446840870634
vib_sideII_kurtosis_max,0.0017847743935413202
shock_sideI_rms_max,0.0017772595673256467
shock_sideII_power_2500_3000_max,0.0017756437193598054
vib_sideII_power_4000_4500_std,0.0017647775813443615
vib_kurtosis_mean_I_minus_II,0.0017582232760718615
shock_sideII_power_1500_2000_max,0.0017469029947028234
shock_sideI_power_1000_1500_max,0.0017355409727073366
shock_sideII_rms_max,0.0017182197670233042
vib_sideII_peak_to_peak_mean,0.0017056894235429254
shock_sideII_kurtosis_mean,0.0017047747495977303
vib_sideI_std_mean,0.0017011421271400427
vib_sideI_power_2000_2500_mean,0.0016809486324642256
vib_sideII_peak_to_peak_max,0.0016580968867773783
vib_kurtosis_mean_I_div_II,0.0016539041652736568
shock_sideII_power_2000_2500_mean,0.001652411611907042
shock_sideI_power_2000_2500_max,0.0016456631385566415
shock_sideII_power_250_500_std,0.001625321289303397
shock_sideI_max_abs_std,0.0016215555237315705
shock_sideII_power_250_500_max,0.0016137259800516634
shock_sideI_kurtosis_max,0.0016136321417852613
shock_sideII_power_4500_5000_mean,0.0015981706153595492
shock_sideII_std_max,0.0015910165283246043
vib_sideI_dominant_frequency_std,0.0015787415658768574
shock_sideII_power_4000_4500_mean,0.0015544113254733225
