model,macro_f1,normal_f1,side_I_f1,side_II_f1
Extra Trees,0.7240598037278536,0.9626556016597511,0.4,0.8095238095238095
Random Forest,0.6630690314900841,0.9604989604989606,0.21052631578947367,0.8181818181818182
