experiment,macro_f1_mean,macro_f1_std,side_I_f1_mean,side_II_f1_mean,normal_f1_mean,features_used
Exp6_Ensemble_XGB_ExtraTrees_threshold_tuned,0.8561782137747803,0.0,0.7142857142857143,0.88,0.9742489270386266,1011
Exp6_Ensemble_XGB_ExtraTrees,0.8365767211450575,0.056228032448390794,0.6819047619047621,0.8572053872053871,0.9706200143250238,1011
Exp4_XGB_bilateral_augmented,0.828187361448307,0.06433094844278267,0.6565079365079367,0.8544133644133645,0.9736407834236204,1011
Exp5_XGB_bilateral_regularized,0.8243019139774588,0.055151623229070135,0.6641269841269842,0.8395985495985496,0.9691802082068425,1011
Exp3_XGB_enhanced_features,0.7907260271553163,0.10616098696347627,0.517883597883598,0.8783838383838384,0.9759106451985128,1011
Exp2_XGB_sample_weighted,0.7626597284946972,0.11559604739885983,0.46920634920634924,0.8477441077441077,0.9710287285336349,847
Exp1_XGB_baseline,0.6629257086668404,0.10985236337295225,0.22793650793650794,0.7980663780663781,0.9627742399976357,847
