experiment,filename,true_label,times_tested,times_correct,accuracy
Exp1_XGB_baseline,Train177.csv,Normal,3,0,0.0
Exp1_XGB_baseline,Train178.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train179.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train18.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train180.csv,Side I,3,0,0.0
Exp1_XGB_baseline,Train181.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train182.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train183.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train184.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train185.csv,Side I,3,0,0.0
Exp1_XGB_baseline,Train186.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train187.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train188.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train189.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train19.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train190.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train191.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train192.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train193.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train194.csv,Side I,3,0,0.0
Exp1_XGB_baseline,Train195.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train196.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train197.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train198.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train199.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train2.csv,Side II,3,1,0.3333333333333333
Exp1_XGB_baseline,Train20.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train200.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train201.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train202.csv,Side I,3,0,0.0
Exp1_XGB_baseline,Train203.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train204.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train205.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train206.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train207.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train208.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train209.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train21.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train210.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train211.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train212.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train213.csv,Side I,3,0,0.0
Exp1_XGB_baseline,Train214.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train215.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train216.csv,Side II,3,0,0.0
Exp1_XGB_baseline,Train217.csv,Side II,3,0,0.0
Exp1_XGB_baseline,Train218.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train219.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train22.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train220.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train221.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train222.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train223.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train224.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train225.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train226.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train227.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train228.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train229.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train23.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train230.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train231.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train232.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train233.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train234.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train235.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train236.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train237.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train238.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train239.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train24.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train240.csv,Side II,3,1,0.3333333333333333
Exp1_XGB_baseline,Train241.csv,Normal,3,3,1.0
