feature,importance
vib_car8_power_750_1000_mean_I_minus_II,0.0020923242
vib_sideI_power_0_250_max,0.0020891742
shock_sideII_std_std,0.0020452114
vib_max_abs_mean_I_minus_II,0.002038147
shock_sideI_power_3000_3500_max,0.0020124016
shock_sideII_max_abs_max,0.0019526354
vib_sideI_relative_power_2500_3000_mean,0.0019519407
shock_sideII_power_3000_3500_std,0.0019398486
shock_sideI_power_1500_2000_std,0.0019388787
shock_sideII_relative_power_750_1000_mean,0.001917755
vib_inv_power_0_250_max_car_diff_min,0.0019064823
vib_sideI_power_3000_3500_mean,0.0018975853
vib_sideI_relative_power_750_1000_max,0.0018966879
vib_sideI_spectral_centroid_std,0.0018599028
shock_sideII_power_3000_3500_mean,0.0018547095
shock_relative_power_750_1000_mean_I_minus_II,0.0018356801
vib_sideII_kurtosis_std,0.0018307788
shock_max_abs_mean_I_minus_II,0.0018107058
vib_car7_sideI_power_0_250_mean,0.0018005468
vib_sideI_power_4500_5000_std,0.0017932811
shock_max_abs_mean_I_div_II,0.0017870539
vib_sideII_rms_std,0.0017784113
vib_car1_sideI_power_750_1000_max,0.0017702406
vib_inv_rms_max_car_diff_max,0.0017624091
vib_sideII_crest_factor_std,0.0017410695
vib_car3_power_250_500_mean_I_div_II,0.0017383408
shock_sideI_peak_to_peak_mean,0.0017347744
vib_inv_rms_mean_car_diff_min,0.0017113313
shock_sideI_rms_std,0.0017006869
vib_car1_power_500_750_mean_I_div_II,0.0016898585
vib_sideI_relative_power_750_1000_std,0.0016807406
vib_sideI_relative_power_4500_5000_std,0.0016642794
shock_sideII_peak_to_peak_std,0.0016598474
shock_sideI_kurtosis_mean,0.0016447245
vib_car4_sideI_power_750_1000_mean,0.0016167727
vib_car2_sideI_power_250_500_mean,0.0015983356
vib_sideII_dominant_frequency_max,0.0015899778
shock_sideI_relative_power_0_250_max,0.001554099
shock_power_250_500_mean_I_minus_II,0.001551508
vib_sideI_peak_to_peak_std,0.0015357273
vib_inv_total_power_max_bottom2_cars_ratio_mean,0.001535386
vib_car7_total_power_max_I_minus_II,0.0015327595
vib_sideII_relative_power_500_750_std,0.0015284719
vib_sideII_power_0_250_mean,0.0015282035
shock_sideII_crest_factor_max,0.0015218501
vib_sideII_relative_power_4500_5000_std,0.00148856
vib_sideI_power_2500_3000_std,0.0014857432
vib_car5_total_power_max_I_div_II,0.0014822783
vib_sideII_power_4000_4500_std,0.0014711003
shock_sideII_peak_to_peak_mean,0.001463974
vib_car8_sideI_power_500_750_max,0.0014480333
vib_power_per_speed_sq_diff,0.0014469477
shock_sideII_power_1000_1500_std,0.0014446111
vib_sideII_power_0_250_max,0.0014106521
vib_sideII_power_3000_3500_max,0.0014065934
vib_inv_rms_max_bottom2_cars_ratio_mean,0.0013984117
vib_car8_sideI_power_0_250_max,0.0013897184
vib_sideII_relative_power_3000_3500_max,0.0013868227
vib_power_0_250_mean_asymmetry_index,0.0013517466
vib_car2_sideII_power_750_1000_max,0.001350278
vib_car5_power_750_1000_mean_I_div_II,0.0013402838
vib_car6_rms_mean_I_div_II,0.0013401223
vib_sideII_relative_power_0_250_max,0.0013312435
vib_car5_rms_mean_I_div_II,0.0013267887
vib_sideII_power_250_500_max,0.0013266334
vib_car4_power_500_750_mean_I_minus_II,0.001313871
vib_car8_sideI_power_500_750_mean,0.0013134805
vib_car3_power_500_750_mean_I_div_II,0.001312845
vib_inv_power_0_250_mean_car_diff_median,0.001299731
vib_inv_rms_max_car_asym_median,0.0012923811
shock_power_250_500_mean_I_div_II,0.0012810124
vib_inv_std_mean_car_diff_min,0.0012784638
vib_car4_sideII_power_750_1000_max,0.001246428
vib_car3_sideI_spectral_centroid_max,0.0012351053
vib_sideI_relative_power_3500_4000_max,0.001200517
shock_sideI_max_abs_max,0.0011850268
vib_sideI_power_4500_5000_max,0.0011845992
vib_sideI_crest_factor_mean,0.001155209
shock_spectral_centroid_mean_I_div_II,0.0011439078
shock_sideII_relative_power_1000_1500_mean,0.0011421291
shock_sideI_power_750_1000_std,0.0011337827
shock_sideII_power_1500_2000_mean,0.0011168697
shock_sideI_power_500_750_max,0.0011105696
vib_inv_rms_max_car_diff_min,0.0011083296
vib_car6_power_500_750_mean_I_minus_II,0.001103889
