experiment,macro_f1_mean,macro_f1_std,side_I_f1_mean,side_II_f1_mean,normal_f1_mean
XGBoost_all_features,0.7876367850616036,0.1156773327943536,0.5295238095238095,0.8595959595959596,0.9737905860650415
ExtraTrees_top100,0.7369943371500064,0.0938316845163093,0.432952380952381,0.8072150072150072,0.9708156232826309
ExtraTrees_vibration_only,0.7257765390622873,0.09366620839904505,0.40885714285714286,0.7985685425685425,0.9699039317611766
ExtraTrees_top50,0.7176654253078564,0.10081510276648316,0.3648571428571429,0.8170880230880231,0.9710511099784033
ExtraTrees_sideI_weighted,0.6812242515508062,0.09918875895371164,0.2900952380952381,0.7908542568542569,0.9627232597029237
ExtraTrees_all_features,0.676073617024268,0.09532055847470128,0.2834285714285714,0.7832352092352092,0.9615570704090233
