experiment,fold,macro_f1,normal_f1,side_I_f1,side_II_f1
ExtraTrees_all_features,1,0.591111111111111,0.94,0.5,0.3333333333333333
ExtraTrees_all_features,2,0.7063573883161512,0.9690721649484536,0.4,0.75
ExtraTrees_all_features,3,0.895783926218709,0.9782608695652174,0.8,0.9090909090909091
ExtraTrees_all_features,4,0.6563573883161512,0.9690721649484536,0.0,1.0
ExtraTrees_all_features,5,0.6157407407407408,0.9583333333333334,0.0,0.8888888888888888
ExtraTrees_all_features,6,0.5038095238095238,0.94,0.0,0.5714285714285714
ExtraTrees_all_features,7,0.5697278911564626,0.9591836734693877,0.0,0.75
ExtraTrees_all_features,8,0.7154121863799284,0.946236559139785,0.4,0.8
ExtraTrees_all_features,9,0.7754050073637703,0.9690721649484536,0.5,0.8571428571428571
ExtraTrees_all_features,10,0.826241134751773,0.9787234042553191,0.5,1.0
ExtraTrees_all_features,11,0.6749999999999999,0.9583333333333334,0.4,0.6666666666666666
ExtraTrees_all_features,12,0.6193203512791142,0.9690721649484536,0.0,0.8888888888888888
ExtraTrees_all_features,13,0.6597222222222222,0.9791666666666666,0.0,1.0
ExtraTrees_all_features,14,0.7086167800453514,0.9591836734693877,0.5,0.6666666666666666
ExtraTrees_all_features,15,0.5661512027491409,0.9484536082474226,0.0,0.75
ExtraTrees_all_features,16,0.7063573883161512,0.9690721649484536,0.4,0.75
ExtraTrees_all_features,17,0.5664983164983165,0.9494949494949495,0.0,0.75
ExtraTrees_all_features,18,0.5861111111111111,0.9583333333333334,0.0,0.8
ExtraTrees_all_features,19,0.7754050073637703,0.9690721649484536,0.5,0.8571428571428571
ExtraTrees_all_features,20,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888
ExtraTrees_all_features,21,0.6051587301587301,0.9583333333333334,0.2857142857142857,0.5714285714285714
ExtraTrees_all_features,22,0.7555125725338492,0.9574468085106383,0.4,0.9090909090909091
ExtraTrees_all_features,23,0.764172335600907,0.9591836734693877,1.0,0.3333333333333333
ExtraTrees_all_features,24,0.6563573883161512,0.9690721649484536,0.0,1.0
ExtraTrees_all_features,25,0.6157407407407408,0.9583333333333334,0.0,0.8888888888888888
ExtraTrees_vibration_only,1,0.636734693877551,0.9387755102040817,0.4,0.5714285714285714
ExtraTrees_vibration_only,2,0.6875,0.9791666666666666,0.3333333333333333,0.75
ExtraTrees_vibration_only,3,0.8514936600042983,0.9787234042553191,0.6666666666666666,0.9090909090909091
ExtraTrees_vibration_only,4,0.7754050073637703,0.9690721649484536,0.5,0.8571428571428571
ExtraTrees_vibration_only,5,0.5858156028368794,0.9574468085106383,0.0,0.8
ExtraTrees_vibration_only,6,0.6435374149659864,0.9591836734693877,0.4,0.5714285714285714
ExtraTrees_vibration_only,7,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888
ExtraTrees_vibration_only,8,0.6747044917257683,0.9574468085106383,0.4,0.6666666666666666
ExtraTrees_vibration_only,9,0.8787698412698414,0.9791666666666666,0.8,0.8571428571428571
ExtraTrees_vibration_only,10,0.826241134751773,0.9787234042553191,0.5,1.0
ExtraTrees_vibration_only,11,0.6561403508771929,0.968421052631579,0.3333333333333333,0.6666666666666666
ExtraTrees_vibration_only,12,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888
ExtraTrees_vibration_only,13,0.6111111111111112,1.0,0.0,0.8333333333333334
ExtraTrees_vibration_only,14,0.7894736842105262,0.968421052631579,0.4,1.0
ExtraTrees_vibration_only,15,0.5661512027491409,0.9484536082474226,0.0,0.75
ExtraTrees_vibration_only,16,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888
ExtraTrees_vibration_only,17,0.7859870179457809,0.9690721649484536,0.5,0.8888888888888888
ExtraTrees_vibration_only,18,0.6929078014184397,0.9787234042553191,0.5,0.6
ExtraTrees_vibration_only,19,0.8787698412698414,0.9791666666666666,0.8,0.8571428571428571
ExtraTrees_vibration_only,20,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888
ExtraTrees_vibration_only,21,0.5966165413533834,0.968421052631579,0.25,0.5714285714285714
ExtraTrees_vibration_only,22,0.8123470732166385,0.9565217391304348,0.5714285714285714,0.9090909090909091
ExtraTrees_vibration_only,23,0.7324263038548752,0.9591836734693877,0.6666666666666666,0.5714285714285714
ExtraTrees_vibration_only,24,0.6226851851851851,0.9791666666666666,0.0,0.8888888888888888
ExtraTrees_vibration_only,25,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888
ExtraTrees_sideI_weighted,1,0.591111111111111,0.94,0.5,0.3333333333333333
ExtraTrees_sideI_weighted,2,0.6875,0.9791666666666666,0.3333333333333333,0.75
ExtraTrees_sideI_weighted,3,0.895783926218709,0.9782608695652174,0.8,0.9090909090909091
ExtraTrees_sideI_weighted,4,0.6563573883161512,0.9690721649484536,0.0,1.0
ExtraTrees_sideI_weighted,5,0.6157407407407408,0.9583333333333334,0.0,0.8888888888888888
ExtraTrees_sideI_weighted,6,0.5038095238095238,0.94,0.0,0.5714285714285714
ExtraTrees_sideI_weighted,7,0.7063573883161512,0.9690721649484536,0.4,0.75
ExtraTrees_sideI_weighted,8,0.7154121863799284,0.946236559139785,0.4,0.8
ExtraTrees_sideI_weighted,9,0.7754050073637703,0.9690721649484536,0.5,0.8571428571428571
ExtraTrees_sideI_weighted,10,0.826241134751773,0.9787234042553191,0.5,1.0
ExtraTrees_sideI_weighted,11,0.6561403508771929,0.968421052631579,0.3333333333333333,0.6666666666666666
ExtraTrees_sideI_weighted,12,0.6193203512791142,0.9690721649484536,0.0,0.8888888888888888
ExtraTrees_sideI_weighted,13,0.6597222222222222,0.9791666666666666,0.0,1.0
ExtraTrees_sideI_weighted,14,0.7754050073637703,0.9690721649484536,0.5,0.8571428571428571
ExtraTrees_sideI_weighted,15,0.5661512027491409,0.9484536082474226,0.0,0.75
ExtraTrees_sideI_weighted,16,0.7063573883161512,0.9690721649484536,0.4,0.75
ExtraTrees_sideI_weighted,17,0.5664983164983165,0.9494949494949495,0.0,0.75
ExtraTrees_sideI_weighted,18,0.5861111111111111,0.9583333333333334,0.0,0.8
ExtraTrees_sideI_weighted,19,0.8787698412698414,0.9791666666666666,0.8,0.8571428571428571
ExtraTrees_sideI_weighted,20,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888
ExtraTrees_sideI_weighted,21,0.6051587301587301,0.9583333333333334,0.2857142857142857,0.5714285714285714
ExtraTrees_sideI_weighted,22,0.7295536005213424,0.946236559139785,0.3333333333333333,0.9090909090909091
